Day,Prediction,Actual,Prev_Actual,Signal,Action,Portfolio Value
315,312.22507,0.57304466,0.5773311,buy,hold,92.39737837631277
316,312.2208,0.57304466,0.57304466,buy,hold,92.39737837631277
317,312.2208,0.57304466,0.57304466,buy,hold,92.39737837631277
318,312.2208,0.57304466,0.57304466,buy,hold,92.39737837631277
319,312.2208,0.57304466,0.57304466,buy,hold,92.39737837631277
320,312.2208,0.5687582,0.57304466,buy,hold,91.70623212862778
321,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
322,312.21222,0.57304466,0.5687582,buy,hold,92.39737837631277
323,312.2165,0.5687582,0.57304466,buy,hold,91.70623212862778
324,312.21222,0.5644717,0.5687582,buy,hold,91.01507943136669
325,312.21222,0.5687582,0.5644717,buy,hold,91.70623212862778
326,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
327,312.21222,0.56018525,0.5687582,buy,hold,90.32393479607569
328,312.21222,0.5644717,0.56018525,buy,hold,91.01507943136669
329,312.21222,0.5558988,0.5644717,buy,hold,89.63279016078472
330,312.20364,0.56018525,0.5558988,buy,hold,90.32393479607569
331,312.20364,0.56018525,0.56018525,buy,hold,90.32393479607569
332,312.20795,0.56018525,0.56018525,buy,hold,90.32393479607569
333,312.20795,0.5687582,0.56018525,buy,hold,91.70623212862778
334,312.20795,0.57304466,0.5687582,buy,hold,92.39737837631277
335,312.2165,0.5687582,0.57304466,buy,hold,91.70623212862778
336,312.21222,0.5644717,0.5687582,buy,hold,91.01507943136669
337,312.21222,0.57304466,0.5644717,buy,hold,92.39737837631277
338,312.21222,0.5687582,0.57304466,buy,hold,91.70623212862778
339,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
340,312.21222,0.57304466,0.5687582,buy,hold,92.39737837631277
341,312.2208,0.5687582,0.57304466,buy,hold,91.70623212862778
342,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
343,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
344,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
345,312.21222,0.5644717,0.5687582,buy,hold,91.01507943136669
346,312.21222,0.5644717,0.5644717,buy,hold,91.01507943136669
347,312.21222,0.56018525,0.5644717,buy,hold,90.32393479607569
348,312.20795,0.5644717,0.56018525,buy,hold,91.01507943136669
349,312.21222,0.5644717,0.5644717,buy,hold,91.01507943136669
